time_s,voltage_v,resistance_ohms
0,3.3,1948.13
1,3.36,2053.73
2,3.32,1982.51
3,3.32,1973.84
4,3.28,1906.25
5,3.29,1931.23
6,3.28,1914.53
7,3.36,2053.73
8,2.98,1471.01
9,2.9,1379.07
10,2.87,1346.33
11,2.9,1384.62
12,2.89,1373.55
13,3.21,1787.47
14,3.16,1720.74
15,3.22,1810.44
16,3.2,1779.89
17,3.26,1865.55
18,2.96,1447.37
19,2.89,1373.55
20,2.92,1407.06
21,2.91,1390.19
22,2.9,1379.07
23,2.88,1357.14
24,2.86,1340.96
25,2.85,1330.3
26,2.85,1325
27,2.84,1319.73
28,2.83,1309.26
29,2.83,1309.26
30,2.83,1298.88
