time_s,voltage_v,resistance_ohms
0,3.09,1616.37
1,3.46,2237.34
2,3.42,2167.18
3,3.45,2227.13
4,3.38,2081.33
5,3.39,2100
6,3.4,2118.9
7,3.55,2456.08
8,2.98,1477
9,2.92,1401.41
10,2.89,1368.06
11,2.88,1357.14
12,2.88,1357.14
13,3.48,2289.39
14,3.47,2257.96
15,3.5,2343.14
16,3.46,2237.34
17,3.67,2761.03
18,2.96,1453.24
19,2.93,1412.74
20,2.88,1357.14
21,2.89,1373.55
22,2.88,1357.14
23,2.86,1340.96
24,2.85,1325
25,2.84,1319.73
26,2.84,1314.48
27,2.83,1309.26
28,2.83,1298.88
29,2.83,1298.88
30,2.82,1293.72
