time_s,voltage_v,resistance_ohms
0,3.75,3011.76
1,3.17,1735.29
2,2.25,817.05
3,2.27,833.33
4,2.27,833.33
5,2.2,788.46
6,2.21,794.74
7,2.94,1424.17
8,3.82,3227.27
9,3.84,3298.32
10,3.78,3092
11,3.63,2640.57
12,3.63,2640.57
13,3.78,3092
14,3.93,3692.66
15,3.38,2081.33
16,2.29,843.24
17,2.35,887.45
18,3.88,3467.25
19,3.71,2889.73
20,3.72,2904.58
21,3.55,2456.08
22,3.54,2421.4
23,3.52,2387.42
24,3.51,2365.13
25,3.52,2376.24
26,3.5,2332.25
27,3.49,2321.43
28,3.57,2491.47
29,3.52,2387.42
30,3.49,2310.68
